question,answer,feedback,timestamp
What is the processing fee and tenure? ,"The processing fee for a loan is a one-time charge, typically ranging from 0.5-2% of the loan amount. 

As for the tenure, it refers to the total time you have to repay the loan. The maximum tenure for a fixed deposit is 10 years, but the loan tenure can vary. Please note that longer tenures result in smaller EMIs, but you'll end up paying more total interest.",Helpful,57:20.9
How do I reset my mobile banking password?,"To reset your mobile banking password, you can try the following steps: 

1. Open your bank's official mobile banking app.
2. Look for a 'Forgot Password' or 'Reset MPIN' option, usually found on the login page.
3. Verify your identity using your account number, debit card details, or an OTP sent to your registered mobile number.
4. Set a new MPIN to access your mobile banking account.

If you're unable to find the 'Forgot Password' option, you can also try contacting your bank's customer support for further assistance.",Helpful,57:33.7
How to apply for new account?,"To apply for a new account, you can visit your bank branch with the required documents, such as Aadhaar, PAN, and passport photo, and fill out the account opening form. Alternatively, you can also check if the bank offers online account opening facilities through their website or mobile app. However, the exact process may vary depending on the bank's policies and the type of account you wish to open. It's best to contact your bank directly for more information on the specific requirements and procedures.",Not Helpful,57:51.1
How do I report a fraudulent transaction? ,"To report a fraudulent transaction, please call your bank's 24x7 helpline immediately to block your card and file a written complaint at the branch. Additionally, you can report the incident to cybercrime.gov.in. This will help prevent further unauthorized transactions and initiate an investigation.",Helpful,00:27.1
How can I dispute an incorrect fee?,"To dispute an incorrect fee, you can log in to net banking and raise a dispute, similar to disputing a credit card charge. Alternatively, you can call your bank's helpline for assistance. The bank will investigate and take necessary actions if the dispute is valid. If the issue is related to an ATM withdrawal, you can also call the helpline or raise a complaint through net banking.",Not Helpful,00:49.4
What is investment banking?,"Investment banking is not explicitly defined in our available context. However, I can provide some general information. Investment banking typically involves providing financial services and advice to individuals, corporations, and governments in areas such as mergers and acquisitions, capital raising, and strategic financing. If you're looking for more specific information or services related to investment banking, I recommend visiting our bank's website or contacting our customer support directly for more detailed guidance.",Not Helpful,2026-06-25 18:36:55.273083
Explain a home equity loan.,"A home equity loan allows you to borrow against the equity in your property, which is the market value of your property minus any outstanding loan. This type of loan provides a one-time lump sum, enabling you to access the value of your property for various purposes.",Helpful,2026-06-25 18:53:15.432065
how to link my new phone number to my account?,"To link your new phone number to your account, you can visit your branch with a valid ID proof and fill a mobile number update form. Alternatively, some banks also allow this to be done online through net banking. Your new number will typically be updated within one working day.",Helpful,2026-06-26 10:43:46.813160
How to apply for a new account?,"To apply for a new account, you can visit your bank's branch or use their online services. Although the exact process for opening a new account is not specified, you can refer to the process for opening a PPF account which requires visiting the bank branch or post office with necessary documents like Aadhaar, PAN, and passport photo, and filling the account opening form. Similarly, for a new account, you may need to provide identification and address proof documents, and fill an account opening form. It's best to contact your bank's branch or check their website for the most accurate and up-to-date information on opening a new account.",Helpful,2026-06-26 10:45:16.747238
How to apply for a new account?,"To apply for a new account, you can visit your bank's branch or use their online services. Although the exact process for opening a new account is not specified, you can likely start by filling an account opening form, similar to the PPF account opening process, which requires an Aadhaar, PAN, and passport photo. It's best to contact your bank's branch or check their website for the most accurate and up-to-date information on the required documents and procedures.",Helpful,2026-06-26 10:46:31.597724
