Section,Question,Answer,processed_question
Basic Accounts,what is a savings account?,"A savings account lets you keep your money safe in a bank while earning a small interest, usually around 2–4% per year.",savings account
Basic Accounts,what is a current account?,A current account is mainly for businesses. It allows unlimited daily transactions but doesn't pay interest on the balance.,current account
Basic Accounts,what is a fixed deposit?,A fixed deposit lets you lock in a sum of money for a set period to earn a higher interest rate than a regular savings account.,fixed deposit
Basic Accounts,what does kyc stand for?,KYC stands for Know Your Customer. It's how banks verify who you are using documents like Aadhaar or PAN card.,kyc stand
Basic Accounts,what is a cheque?,A cheque is a written instruction to your bank to pay a specific amount to someone else from your account.,cheque
Basic Accounts,what happens when a cheque bounces?,"When a cheque bounces, the bank refuses to pay it — usually because there's not enough money in the account. It can lead to a penalty or even legal action.",happens cheque bounces
Basic Accounts,what is a demand draft?,"A demand draft is a prepaid payment made through the bank, so it can't bounce. It's great for paying college fees or government offices.",demand draft
Basic Accounts,what is an overdraft?,"An overdraft lets you withdraw more money than you have in your account, up to a limit set by the bank. You pay interest on what you use.",overdraft
Basic Accounts,what is a joint account?,A joint account is shared between two or more people. All account holders can access and manage the funds together.,joint account
Basic Accounts,what is a nominee in a bank account?,"A nominee is someone you choose to receive your account funds if you pass away. They don't legally own the money, but they receive it on behalf of your family.",nominee bank account
Basic Accounts,what is a recurring deposit?,"A recurring deposit lets you save a fixed amount every month for a chosen period. At the end, you get back all your money plus interest.",recurring deposit
Basic Accounts,what is a zero balance account?,A zero balance account doesn't require you to keep any minimum amount. You can open it with no money and use it freely.,zero balance account
Basic Accounts,can a minor open a bank account?,"Yes, a minor below 18 can open a bank account, but it's operated by a parent or guardian until they turn 18.",minor open bank account
Basic Accounts,what is a senior citizen savings account?,It's a special savings account for people above 60 years. It offers higher interest rates and sometimes priority service at branches.,senior citizen savings account
Basic Accounts,what is an nri account?,"An NRI account is for Indians living abroad. There are three types — NRE, NRO, and FCNR — depending on the currency and whether funds need to be repatriated.",nri account
Basic Accounts,what is an account number?,Your account number is a unique code your bank gives your account. It's used to identify you during any transaction.,account number
Basic Accounts,what is a bank passbook?,"A passbook is a small booklet your bank gives you. It records all your deposits, withdrawals, and the current balance in your account.",bank passbook
Basic Accounts,what is a cheque book?,A cheque book is a set of blank cheques given by your bank. You fill and sign them to make payments to others.,cheque book
Basic Accounts,how much interest does a savings account earn?,Most Indian banks offer 2–4% per year on savings accounts. Some small finance banks offer up to 7%.,much interest savings account earn
Basic Accounts,what is a dormant account?,"If you don't make any transaction in your account for 2 years, it becomes dormant and gets locked for security reasons.",dormant account
Basic Accounts,what is a bsbd account?,BSBD stands for Basic Savings Bank Deposit account. It's a zero-balance account made for low-income individuals with basic banking features.,bsbd account
Basic Accounts,how do i reactivate a dormant account?,"Visit your bank branch with your KYC documents and submit a written request. Once verified, your account will be reactivated.",reactivate dormant account
Basic Accounts,what is a sweep-in account?,"A sweep-in account automatically moves extra money above a threshold into a fixed deposit to earn higher interest, and brings it back when needed.",sweepin account
Basic Accounts,what is a bank locker?,"A bank locker is a small safe inside the bank where you can store valuables like gold, jewellery, or important documents for a yearly fee.",bank locker
Basic Accounts,what documents are needed to open a bank account?,"You need an identity proof like Aadhaar or PAN card, address proof, passport-size photos, and a filled application form.",documents needed open bank account
Basic Accounts,what is tds on fixed deposit?,"If your FD interest is more than ₹40,000 a year, the bank deducts 10% TDS. For senior citizens, the limit is ₹50,000.",tds fixed deposit
Basic Accounts,what is form 15g?,Form 15G is a self-declaration form for people below 60. Submitting it tells the bank not to deduct TDS if your total income is below the taxable limit.,form 15g
Basic Accounts,what is form 15h?,Form 15H is for senior citizens. It asks the bank not to deduct TDS if their total tax payable is nil.,form 15h
Basic Accounts,what is a salary account?,A salary account is a zero-balance savings account where your employer credits your salary each month. It often comes with extra perks like free insurance.,salary account
Basic Accounts,what is a tax-saving fd?,"A tax-saving FD has a 5-year lock-in and qualifies for deduction under Section 80C of the Income Tax Act, up to ₹1.5 lakh per year.",taxsaving fd
Basic Accounts,can i withdraw an fd before maturity?,"Yes, but you'll usually pay a penalty of around 0.5–1% less interest than the original rate.",withdraw fd maturity
Basic Accounts,what is interest payout in fd?,"FD interest can be paid monthly, quarterly, half-yearly, or at maturity. Cumulative payout at maturity earns the most because of compounding.",interest payout fd
Basic Accounts,what is dicgc insurance?,"DICGC insures your deposits up to ₹5 lakh per bank. So if the bank fails, you're guaranteed to get back up to ₹5 lakh.",dicgc insurance
Basic Accounts,what is a ppf account?,PPF is Public Provident Fund. It's a 15-year government savings scheme with tax-free interest of around 7.1% per year.,ppf account
Basic Accounts,what is a sukanya samriddhi account?,It's a government savings scheme for girl children below 10 years. It offers around 8.2% interest and full tax exemption.,sukanya samriddhi account
Basic Accounts,what is the atal pension yojana?,"Atal Pension Yojana is a pension scheme for unorganized sector workers. You contribute until 60 and get a fixed monthly pension of ₹1,000 to ₹5,000.",atal pension yojana
Basic Accounts,what is pmjdy?,Pradhan Mantri Jan Dhan Yojana is a scheme to give every Indian a bank account. It offers a zero-balance account with a RuPay debit card and accident insurance.,pmjdy
Basic Accounts,what is a rupay card?,"RuPay is India's own card payment network, like Visa or Mastercard but made by NPCI. It works at ATMs, POS machines, and for online payments.",rupay card
Basic Accounts,what is the minimum balance in a savings account?,"It varies by bank. Government banks like SBI may require ₹0 to ₹3,000 while private banks may ask for ₹5,000 to ₹25,000 depending on the city.",minimum balance savings account
Basic Accounts,what happens if i don't maintain minimum balance?,"The bank charges a non-maintenance fee, typically ₹100 to ₹500, if your account falls below the required minimum balance.",happens dont maintain minimum balance
Basic Accounts,what is an escrow account?,An escrow account is a neutral account where money is held safely until both parties in a deal (like property purchase) meet their obligations.,escrow account
Basic Accounts,what is a co-operative bank?,A co-operative bank is owned and run by its members. It mainly provides banking services to rural communities and small businesses.,cooperative bank
Basic Accounts,what is a payments bank?,A payments bank can accept deposits up to ₹2 lakh and offer digital payments but cannot give loans. Examples include Airtel Payments Bank and India Post Payments Bank.,payments bank
Basic Accounts,what is a small finance bank?,"A small finance bank serves people who don't have easy access to regular banking, like small farmers and micro businesses. Example: AU Small Finance Bank.",small finance bank
Basic Accounts,what is the nre account used for?,NRE account is used by NRIs to park their foreign earnings in India in Indian rupees. The interest is tax-free in India and the money can be sent back abroad freely.,nre account used
Basic Accounts,what is an nro account?,"NRO is for managing income earned in India by an NRI, like rent or dividends. Interest is taxable and repatriation has limits.",nro account
Basic Accounts,what is a fcnr account?,"FCNR lets NRIs deposit money in foreign currency (USD, GBP, EUR, etc.) without any exchange rate risk. Interest is tax-free and the deposit is fully repatriable.",fcnr account
Basic Accounts,what is account nomination and why is it important?,"Nomination lets the bank release funds to your chosen person after your death, avoiding delays or legal complications for your family.",account nomination important
Basic Accounts,what is an inoperative account?,An account with no transactions for 2 years is called inoperative. You need to submit fresh KYC at the branch to make it active again.,inoperative account
Basic Accounts,how can i close a bank account?,"Visit your branch, submit a closure request form, return your debit card and unused cheques, and get any remaining balance transferred or in cash.",close bank account
Basic Accounts,what is a bank guarantee?,A bank guarantee is a promise by the bank to pay a specific amount to someone if the bank's customer fails to meet their contractual commitment.,bank guarantee
Basic Accounts,what is a letter of credit?,A letter of credit is issued by a bank guaranteeing a seller will get paid as long as they meet the delivery conditions. It's widely used in international trade.,letter credit
Basic Accounts,what is a trust account?,A trust account holds money managed by one person (trustee) for the benefit of another (beneficiary) under a legal agreement.,trust account
Basic Accounts,what is an account statement?,"An account statement is an official record of all your transactions — deposits, withdrawals, charges, and interest — for a specific period.",account statement
Basic Accounts,can i open a bank account online?,"Yes. Most banks let you open an account online by filling a form, uploading KYC documents, and completing a video KYC call.",open bank account online
Basic Accounts,what is video kyc?,"Video KYC lets you complete identity verification through a live video call with a bank official from your home, without visiting the branch.",video kyc
Basic Accounts,what is a current account for businesses?,"A current account gives businesses unlimited daily transactions, overdraft facilities, and cheque books. It doesn't pay interest but provides all the tools a business needs.",current account businesses
Basic Accounts,what is an average monthly balance?,Average monthly balance is the average of your daily closing balances in a month. Banks require you to maintain this to avoid penalty charges.,average monthly balance
Basic Accounts,what is a banker's cheque?,A banker's cheque is issued by the bank itself on your behalf using bank funds. It's safer than a personal cheque because it won't bounce.,bankers cheque
Basic Accounts,what is a multipurpose financial inclusion card?,"It's a single card issued by banks under financial inclusion programs that combines savings, insurance, and credit access for rural customers.",multipurpose financial inclusion card
Basic Accounts,what is an nbfc?,"NBFC stands for Non-Banking Financial Company. It offers loans and investments like a bank but doesn't have a banking licence. Examples: Bajaj Finance, HDFC Ltd.",nbfc
Basic Accounts,can i have multiple bank accounts?,"Yes, you can have accounts in as many banks as you want. But each account has its own maintenance requirements and charges.",multiple bank accounts
Basic Accounts,what is a bulk deposit?,A bulk deposit is a single deposit of ₹2 crore or more. Banks often offer special negotiated interest rates for these.,bulk deposit
Basic Accounts,what is auto-renewal of fd?,"If you don't give any instruction when your FD matures, the bank automatically renews it for the same duration at the current interest rate.",autorenewal fd
Basic Accounts,what is a partial withdrawal from fd?,Some banks allow you to break only a part of your FD while the rest continues earning interest at the original rate.,partial withdrawal fd
Basic Accounts,what is the pmmy loan?,Pradhan Mantri MUDRA Yojana provides small business loans up to ₹10 lakh through banks and MFIs without collateral for non-farm businesses.,pmmy loan
Basic Accounts,what is a regional rural bank?,"Regional rural banks (RRBs) are government-owned banks that serve rural areas, giving loans to farmers, artisans, and laborers. They are co-owned by the central and state government and a sponsor bank.",regional rural bank
Basic Accounts,what is a self-help group bank linkage?,"Banks provide loans directly to self-help groups (SHGs) of rural women, who then lend to members. This helps people without collateral access credit.",selfhelp group bank linkage
Basic Accounts,what is account re-activation?,"To reactivate a dormant or inoperative account, visit the branch with KYC documents, fill a reactivation form, and do a transaction to restore normal access.",account reactivation
Basic Accounts,what is the difference between savings and current account?,"A savings account earns interest and limits daily transactions. A current account offers unlimited transactions without interest, and is meant for businesses.",difference savings current account
Basic Accounts,what is a micr code?,MICR stands for Magnetic Ink Character Recognition. It's a code at the bottom of your cheque used by machines to process and clear it quickly.,micr code
Basic Accounts,what is an ifsc code?,"IFSC is Indian Financial System Code. It's an 11-character code that identifies your specific bank branch for electronic fund transfers like NEFT, RTGS, and IMPS.",ifsc code
